License,Type of licenses,Name,Contact,Address,"City,State,Zip",County,Phone,ExpirationDate,Website
13680,Equine Stables Licenses,Savannah Carriage Tours,Nichole Myers,407D Harmon Street,"Savannah, GA      31401",CHATHAM,912-443-9333,1/21/2026,
40487,Live Plant Licenses,JAMES KERBY,,51 SHORE AVE. (View Mapquest or view GoogleMap),"SAVANNAH, GA  31406",CHATHAM,,12/31/2025,
11571,Equine Stables Licenses,Carriage Tours of Savannah,Cara Marshall,802 Wheaton St,"Savannah, GA      31401",CHATHAM,9127568043,5/30/2026,
35313,Live Plant Licenses,,,311 EAST GWINNETT ST (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
42545,Live Plant Licenses,Danny Ray Roberts,,5901 Ogeechee Road (View Mapquest or view GoogleMap),"Savannah, GA  31419",Chatham,,12/31/2025,
42053,Live Plant Licenses,Richard Skeen,,8108 Abercorn Street (View Mapquest or view GoogleMap),"Savannah, GA  31406",CHATHAM,,12/31/2025,
42622,Live Plant Licenses,Jason Flannagan,,12350 Mercy Blvd (View Mapquest or view GoogleMap),"Savannah, GA  31419",CHATHAM,,12/31/2025,
12228,Equine Stables Licenses,Red Gate Campground and RV Resort,JOHN DAVID SMITH JR.,136 Red Gate Farm Trl,"Savannah, GA      31405",CHATHAM,9123132381,12/29/2025,
34727,Live Plant Licenses,,,14010 ABERCORN ST (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
33902,Live Plant Licenses,,,4725 WATERS AVE (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
31855,Live Plant Licenses,,,1955 E. MONTGOMERY CROSSROADS (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
31869,Live Plant Licenses,JOHN GLENN,,489-A BEAULIEU AVE (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
36736,Live Plant Licenses,DAVID BOWLES,,706 MALL BLVD (View Mapquest or view GoogleMap),"SAVANNAH, GA  31406",CHATHAM,,12/31/2026,
